プロジェクトID,1
アンケートID,1
アンケート名,中小企業・店舗のAI検索（AIO）対応に関する実態調査
アンケート開始日,2026年06月11日
アンケート終了日,2026年06月11日
ターゲット,"[居住地]全国、[年齢]20歳以上 99歳以下、[性別]男女、[職業]経営者・役員,自営業,自由業"
サンプル数,100

Q1,"あなたの業種は？ (SA)",％,総計,男性,女性
1,飲食,0%,0,0,0
2,小売・EC,11%,11,10,1
3,美容・サロン,3%,3,2,1
4,医療・クリニック,1%,1,1,0
5,士業・コンサル,8%,8,7,1
6,製造・BtoB,7%,7,7,0
7,不動産,10%,10,10,0
8,教育,5%,5,2,3
9,その他,55%,55,47,8
,全体,100%,100,86,14

Q2,従業員数を教えてください。(SA),％,総計,男性,女性
1,1〜5名,75%,75,66,9
2,6〜20名,14%,14,10,4
3,21〜50名,5%,5,5,0
4,51〜100名,1%,1,1,0
5,101名以上,5%,5,4,1
,全体,100%,100,86,14

Q3,あなたのお立場を教えてください。(SA),％,総計,男性,女性
1,経営者・役員,60%,60,55,5
2,管理職,2%,2,2,0
3,一般社員,8%,8,6,2
4,その他,30%,30,23,7
,全体,100%,100,86,14

Q4,自社のWebサイトはありますか？(SA),％,総計,男性,女性
1,ある,23%,23,21,2
2,ない,75%,75,63,12
3,制作中,2%,2,2,0
,全体,100%,100,86,14

Q5,"「AI検索」（ChatGPTやGoogleのAI Overviewなど、AIが答える検索）を知っていますか？(SA)",％,総計,男性,女性
1,よく知っている,42%,42,37,5
2,聞いたことはある,48%,48,44,4
3,知らない,10%,10,5,5
,全体,100%,100,86,14

Q6,顧客が「検索」より「AIに質問」して情報を得ることが増えていると感じますか？(SA),％,総計,男性,女性
1,強く感じる,13%,13,11,2
2,やや感じる,24%,24,22,2
3,あまり感じない,35%,35,31,4
4,分からない,28%,28,22,6
,全体,100%,100,86,14

Q7,ChatGPTやGoogleのAIで「自社が正しく紹介されるか」を確認したことがありますか？(SA),％,総計,男性,女性
1,ある,9%,9,9,0
2,ない,91%,91,77,14
,全体,100%,100,86,14

Q8,AIに自社が紹介・引用されるための対策（AIO対策／AI最適化）に取り組んでいますか？(SA),％,総計,男性,女性
1,着手済み,3%,3,3,0
2,検討中,9%,9,9,0
3,未着手（知っていたが未対応）,31%,31,25,6
4,未着手（そもそも知らなかった）,57%,57,49,8
,全体,100%,100,86,14

Q9,（Q8で「未着手・検討中」の方）取り組めていない理由をお選びください。（複数選択可）(MA),％,総計,男性,女性
1,やり方が分からない,12.37%,12,10,2
2,優先度が低い,28.87%,28,24,4
3,費用が不安,14.43%,14,13,1
4,効果が分からない,22.68%,22,19,3
5,知らなかった,30.93%,30,26,4
6,その他,12.37%,12,9,3
,全体,100%,97,83,14

Q10,今後、AI検索（AIO）対策に取り組みたいと思いますか？(SA),％,総計,男性,女性
1,積極的に取り組みたい,4%,4,4,0
2,必要なら取り組みたい,20%,20,18,2
3,あまり関心がない,60%,60,50,10
4,分からない,16%,16,14,2
,全体,100%,100,86,14

Q11,AI検索時代の集客に不安を感じますか？(SA),％,総計,男性,女性
1,とても感じる,9%,9,9,0
2,やや感じる,27%,27,23,4
3,あまり感じない,40%,40,34,6
4,感じない,24%,24,20,4
,全体,100%,100,86,14

F1,年代,％,総計,男性,女性
1,10代,0%,0,0,0
2,20代,0%,0,0,0
3,30代,4%,4,4,0
4,40代,11%,11,6,5
5,50代,30%,30,26,4
6,60代以上,55%,55,50,5

F2,都道府県,％,総計,男性,女性
1,北海道,3%,3,2,1
2,青森県,0%,0,0,0
3,岩手県,0%,0,0,0
4,宮城県,1%,1,0,1
5,秋田県,0%,0,0,0
6,山形県,0%,0,0,0
7,福島県,1%,1,1,0
8,茨城県,4%,4,4,0
9,栃木県,2%,2,1,1
10,群馬県,1%,1,1,0
11,埼玉県,5%,5,5,0
12,千葉県,1%,1,1,0
13,東京都,23%,23,19,4
14,神奈川県,7%,7,5,2
15,新潟県,3%,3,3,0
16,富山県,1%,1,1,0
17,石川県,0%,0,0,0
18,福井県,0%,0,0,0
19,山梨県,0%,0,0,0
20,長野県,2%,2,1,1
21,岐阜県,1%,1,1,0
22,静岡県,2%,2,2,0
23,愛知県,7%,7,7,0
24,三重県,0%,0,0,0
25,滋賀県,1%,1,1,0
26,京都府,4%,4,3,1
27,大阪府,8%,8,8,0
28,兵庫県,5%,5,5,0
29,奈良県,1%,1,1,0
30,和歌山県,0%,0,0,0
31,鳥取県,0%,0,0,0
32,島根県,0%,0,0,0
33,岡山県,2%,2,2,0
34,広島県,2%,2,2,0
35,山口県,3%,3,3,0
36,徳島県,1%,1,1,0
37,香川県,1%,1,1,0
38,愛媛県,0%,0,0,0
39,高知県,0%,0,0,0
40,福岡県,2%,2,0,2
41,佐賀県,1%,1,1,0
42,長崎県,2%,2,1,1
43,熊本県,1%,1,1,0
44,大分県,1%,1,1,0
45,宮崎県,1%,1,1,0
46,鹿児島県,0%,0,0,0
47,沖縄県,0%,0,0,0

F3,性別,％,総計,男性,女性
1,男性,86%,86,86,0
2,女性,14%,14,0,14

F4,結婚,％,総計,男性,女性
1,未婚,47%,47,38,9
2,既婚,53%,53,48,5

F5,職業,％,総計,男性,女性
1,会社員(正社員),0%,0,0,0
2,会社員（契約・派遣社員）,0%,0,0,0
3,経営者・役員,24%,24,23,1
4,公務員（教職員を除く）,0%,0,0,0
5,自営業,51%,51,42,9
6,自由業,25%,25,21,4
7,医師・医療関係者,0%,0,0,0
8,専業主婦,0%,0,0,0
9,学生,0%,0,0,0
10,パート・アルバイト,0%,0,0,0
11,無職,0%,0,0,0
12,その他,0%,0,0,0

F6,業種,％,総計,男性,女性
1,農業・林業・漁業・鉱業,1%,1,1,0
2,建設業,7%,7,6,1
3,製造業,3%,3,3,0
4,情報通信業,8%,8,8,0
5,金融・証券・保険業,5%,5,4,1
6,不動産業,10%,10,10,0
7,サービス業,13%,13,11,2
8,運送・輸送業,3%,3,3,0
9,電気・ガス・水道業,0%,0,0,0
10,商社・卸売り・小売業,16%,16,15,1
11,医療・福祉,0%,0,0,0
12,教育業,7%,7,4,3
13,出版・印刷業,1%,1,1,0
14,メディア・マスコミ・広告業,2%,2,2,0
15,調査業・シンクタンク,2%,2,1,1
16,非営利団体,0%,0,0,0
17,その他,22%,22,17,5
18,勤めていない,0%,0,0,0

F7,世帯年収,％,総計,男性,女性
1,100万未満,7%,7,5,2
2,100万～200万未満,5%,5,4,1
3,200万～300万未満,11%,11,11,0
4,300万～400万未満,10%,10,8,2
5,400万～500万未満,14%,14,13,1
6,500万～600万未満,11%,11,10,1
7,600万～700万未満,7%,7,5,2
8,700万～800万未満,6%,6,4,2
9,800万～900万未満,3%,3,2,1
10,"900万～1,000万未満",5%,5,4,1
11,"1,000万～1,200万未満",4%,4,4,0
12,"1,200万～1,500万未満",5%,5,4,1
13,"1,500万～1,800万未満",4%,4,4,0
14,"1,800万～2,000万未満",1%,1,1,0
15,"2,000万以上",7%,7,7,0

F8,居住形態,％,総計,男性,女性
1,持ち家（一戸建て）,65%,65,55,10
2,持ち家（マンション）,10%,10,10,0
3,賃貸（一戸建て）,5%,5,5,0
4,賃貸（マンション）,10%,10,8,2
5,賃貸（アパート）,8%,8,7,1
6,社宅,0%,0,0,0
7,寮・下宿,1%,1,0,1
8,その他,1%,1,1,0

F9,子供有無,％,総計,男性,女性
1,子供あり,48%,48,42,6
2,子供なし,52%,52,44,8

